id,amount,value_date,utr,narration,type
bank_0008,2435.28,2026-07-03,UTR8044917494,NEFT RAZORPAY UTR8044917494,credit
bank_0093,2915.48,2026-07-06,UTR9273830240,NEFT RAZORPAY UTR9273830240,credit
bank_0138,765.00,2026-07-08,UTR7657684164,NEFT RAZORPAY UTR7657684164,credit
bank_0063,4209.84,2026-07-05,UTR9404823326,NEFT RAZORPAY UTR9404823326,credit
bank_0113,2809.63,2026-07-07,UTR8592009578,NEFT RAZORPAY UTR8592009578,credit
bank_0073,1979.70,2026-07-05,UTR3042512973,NEFT RAZORPAY UTR3042512973,credit
bank_0033,3957.82,2026-07-04,UTR7505052960,NEFT RAZORPAY UTR7505052960,credit
bank_0128,2608.10,2026-07-08,UTR8159979683,NEFT RAZORPAY UTR8159979683,credit
bank_0058,4852.18,2026-07-05,UTR7676050679,NEFT RAZORPAY UTR7676050679,credit
bank_0003,2213.49,2026-07-03,UTR5180908585,NEFT RAZORPAY UTR5180908585,credit
bank_0023,2678.45,2026-07-03,UTR4191702507,NEFT RAZORPAY UTR4191702507,credit
bank_0098,1766.37,2026-07-07,UTR9528147709,NEFT RAZORPAY UTR9528147709,credit
bank_0013,1649.35,2026-07-03,UTR3126047837,NEFT RAZORPAY UTR3126047837,credit
bank_0088,3771.68,2026-07-06,UTR4370910544,NEFT RAZORPAY UTR4370910544,credit
bank_0038,4008.89,2026-07-04,UTR2436980891,NEFT RAZORPAY UTR2436980891,credit
bank_0118,4719.55,2026-07-07,UTR4934445070,NEFT RAZORPAY UTR4934445070,credit
bank_0150,3225.03,2026-07-03,UTR2977822153,NEFT RAZORPAY UTR2977822153 BATCH,credit
bank_0048,3483.98,2026-07-04,UTR5280409976,NEFT RAZORPAY UTR5280409976,credit
bank_0053,1203.85,2026-07-05,UTR1459192622,NEFT RAZORPAY UTR1459192622,credit
bank_0028,4741.63,2026-07-04,UTR2974766471,NEFT RAZORPAY UTR2974766471,credit
bank_0018,2737.05,2026-07-03,UTR3647352874,NEFT RAZORPAY UTR3647352874,credit
bank_0068,1160.79,2026-07-05,UTR9808913522,NEFT RAZORPAY UTR9808913522,credit
bank_0043,3000.74,2026-07-04,UTR8015547884,NEFT RAZORPAY UTR8015547884,credit
bank_0083,3366.38,2026-07-06,UTR9661358750,NEFT RAZORPAY UTR9661358750,credit
bank_0123,4174.47,2026-07-08,UTR1732143208,NEFT RAZORPAY UTR1732143208,credit
bank_0133,3128.71,2026-07-08,UTR7506471674,NEFT RAZORPAY UTR7506471674,credit
bank_0078,1663.66,2026-07-06,UTR9771821711,NEFT RAZORPAY UTR9771821711,credit
bank_0108,510.52,2026-07-07,UTR2662366263,NEFT RAZORPAY UTR2662366263,credit
bank_0103,3772.25,2026-07-07,UTR8915446574,NEFT RAZORPAY UTR8915446574,credit
