id,amount,date,external_ref,memo
ldgr_0049,3568.18,2026-07-02,ORD3923079,Sale ORD3923079
ldgr_0148,1446.60,2026-07-01,ORD3038681,Sale ORD3038681
ldgr_0109,522.86,2026-07-05,ORD8152807,Sale ORD8152807
ldgr_0054,1232.95,2026-07-03,ORD3130851,Sale ORD3130851
ldgr_0099,1809.06,2026-07-05,ORD9810745,Sale ORD9810745
ldgr_0034,4053.48,2026-07-02,ORD8281371,Sale ORD8281371
ldgr_0119,4833.62,2026-07-05,ORD2218218,Sale ORD2218218
ldgr_0039,4105.79,2026-07-02,ORD6510078,Sale ORD6510078
ldgr_0074,2027.55,2026-07-03,ORD5126723,Sale ORD5126723
ldgr_0004,2266.99,2026-07-01,ORD8831988,Sale ORD8831988
ldgr_0142,423.69,2026-07-01,ORD6985150,Sale ORD6985150
ldgr_0104,3863.43,2026-07-05,ORD1445626,Sale ORD1445626
ldgr_0139,783.49,2026-07-06,ORD3428774,Sale ORD3428774
ldgr_0009,2494.14,2026-07-01,ORD6515450,Sale ORD6515450
ldgr_0014,1689.21,2026-07-01,ORD1860240,Sale ORD1860240
ldgr_0144,836.86,2026-07-01,ORD2766387,Sale ORD2766387
ldgr_0089,3862.85,2026-07-04,ORD7219265,Sale ORD7219265
ldgr_0029,4856.23,2026-07-02,ORD5419524,Sale ORD5419524
ldgr_0069,1188.85,2026-07-03,ORD5539457,Sale ORD5539457
ldgr_0129,2671.14,2026-07-06,ORD2877544,Sale ORD2877544
ldgr_0134,3204.34,2026-07-06,ORD1896793,Sale ORD1896793
ldgr_0024,2743.18,2026-07-01,ORD8011086,Sale ORD8011086
ldgr_0059,4969.46,2026-07-03,ORD4683195,Sale ORD4683195
ldgr_0114,2877.54,2026-07-05,ORD4467056,Sale ORD4467056
ldgr_0154,963.25,2026-07-05,ORD9441267,Sale ORD9441267
ldgr_0084,3447.75,2026-07-04,ORD5285108,Sale ORD5285108
ldgr_0094,2985.95,2026-07-04,ORD6358595,Sale ORD6358595
ldgr_0146,595.83,2026-07-01,ORD1599901,Sale ORD1599901
ldgr_0064,4311.59,2026-07-03,ORD5553478,Sale ORD5553478
ldgr_0019,2803.20,2026-07-01,ORD4447911,Sale ORD4447911
ldgr_0044,3073.27,2026-07-02,ORD2865333,Sale ORD2865333
ldgr_0124,4275.37,2026-07-06,ORD1135626,Sale ORD1135626
ldgr_0079,1703.87,2026-07-04,ORD2284139,Sale ORD2284139
