id,amount,created_at,order_id,method,status
pay_0036,4105.79,2026-07-02,ORD6510078,netbanking,captured
pay_0136,783.49,2026-07-06,ORD3428774,netbanking,captured
pay_0143,836.86,2026-07-01,ORD2766387,upi,captured
pay_0116,4833.62,2026-07-05,ORD2218218,netbanking,captured
pay_0091,2985.95,2026-07-04,ORD6358595,netbanking,captured
pay_0021,2743.18,2026-07-01,ORD8011086,upi,captured
pay_0106,522.86,2026-07-05,ORD8152807,upi,captured
pay_0111,2877.54,2026-07-05,ORD4467056,upi,captured
pay_0016,2803.20,2026-07-01,ORD4447911,card,captured
pay_0101,3863.43,2026-07-05,ORD1445626,card,captured
pay_0076,1703.87,2026-07-04,ORD2284139,netbanking,captured
pay_0071,2027.55,2026-07-03,ORD5126723,card,captured
pay_0046,3568.18,2026-07-02,ORD3923079,netbanking,captured
pay_0001,2266.99,2026-07-01,ORD8831988,upi,captured
pay_0121,4275.37,2026-07-06,ORD1135626,upi,captured
pay_0066,1188.85,2026-07-03,ORD5539457,card,captured
pay_0056,4969.46,2026-07-03,ORD4683195,card,captured
pay_0147,1446.60,2026-07-01,ORD3038681,upi,captured
pay_0126,2671.14,2026-07-06,ORD2877544,card,captured
pay_0131,3204.34,2026-07-06,ORD1896793,upi,captured
pay_0006,2494.14,2026-07-01,ORD6515450,card,captured
pay_0081,3447.75,2026-07-04,ORD5285108,card,captured
pay_0096,1809.06,2026-07-05,ORD9810745,card,captured
pay_0041,3073.27,2026-07-02,ORD2865333,upi,captured
pay_0026,4856.23,2026-07-02,ORD5419524,upi,captured
pay_0145,595.83,2026-07-01,ORD1599901,upi,captured
pay_0011,1689.21,2026-07-01,ORD1860240,card,captured
pay_0031,4053.48,2026-07-02,ORD8281371,upi,captured
pay_0141,423.69,2026-07-01,ORD6985150,upi,captured
pay_0051,1232.95,2026-07-03,ORD3130851,netbanking,captured
pay_0061,4311.59,2026-07-03,ORD5553478,upi,captured
pay_0086,3862.85,2026-07-04,ORD7219265,upi,captured
pay_0152,963.25,2026-07-05,ORD9441267,upi,captured
