id,amount,fees,tax,settled_at,utr
setl_0097,1766.37,36.18,6.51,2026-07-07,UTR9528147709
setl_0047,3483.98,71.36,12.84,2026-07-04,UTR5280409976
setl_0012,1649.35,33.78,6.08,2026-07-03,UTR3126047837
setl_0067,1160.79,23.78,4.28,2026-07-05,UTR9808913522
setl_0072,1979.70,40.55,7.30,2026-07-05,UTR3042512973
setl_0052,1203.85,24.66,4.44,2026-07-05,UTR1459192622
setl_0112,2809.63,57.55,10.36,2026-07-07,UTR8592009578
setl_0087,3771.68,77.26,13.91,2026-07-06,UTR4370910544
setl_0132,3128.71,64.09,11.54,2026-07-08,UTR7506471674
setl_0027,4741.63,97.12,17.48,2026-07-04,UTR2974766471
setl_0149,3225.03,66.06,11.89,2026-07-03,UTR2977822153
setl_0107,510.52,10.46,1.88,2026-07-07,UTR2662366263
setl_0057,4852.18,99.39,17.89,2026-07-05,UTR7676050679
setl_0022,2678.45,54.86,9.87,2026-07-03,UTR4191702507
setl_0002,2213.49,45.34,8.16,2026-07-03,UTR5180908585
setl_0082,3366.38,68.96,12.41,2026-07-06,UTR9661358750
setl_0007,2435.28,49.88,8.98,2026-07-03,UTR8044917494
setl_0062,4209.84,86.23,15.52,2026-07-05,UTR9404823326
setl_0077,1663.66,34.08,6.13,2026-07-06,UTR9771821711
setl_0117,4719.55,96.67,17.40,2026-07-07,UTR4934445070
setl_0122,4174.47,85.51,15.39,2026-07-08,UTR1732143208
setl_0102,3772.25,77.27,13.91,2026-07-07,UTR8915446574
setl_0137,765.00,15.67,2.82,2026-07-08,UTR7657684164
setl_0017,2737.05,56.06,10.09,2026-07-03,UTR3647352874
setl_0037,4008.89,82.12,14.78,2026-07-04,UTR2436980891
setl_0092,2915.48,59.72,10.75,2026-07-06,UTR9273830240
setl_0032,3957.82,81.07,14.59,2026-07-04,UTR7505052960
setl_0127,2608.10,53.42,9.62,2026-07-08,UTR8159979683
setl_0153,940.52,19.26,3.47,2026-07-06,UTR4881506043
setl_0042,3000.74,61.47,11.06,2026-07-04,UTR8015547884
