Txn Date,Value Dt,Narration,Chq/Ref No,Withdrawal Amt.,Deposit Amt.,Closing Balance
03/07/2026,03/07/2026,NEFT-RAZORPAY-UTR700001,UTR700001,,"9,764.00",259764.00
03/07/2026,03/07/2026,NEFT-RAZORPAY-UTR700002,UTR700002,,"5,000.00",264764.00
04/07/2026,04/07/2026,NEFT-RAZORPAY-UTR700003,UTR700003,,"2,444.91",267208.91
05/07/2026,05/07/2026,NEFT-RAZORPAY-UTR700004,UTR700004,,"1,21,00,000.00",12367208.91
06/07/2026,06/07/2026,NEFT-RAZORPAY-UTR700005,UTR700005,,"4,882.00",12372090.91
07/07/2026,07/07/2026,NEFT-RAZORPAY-UTR700006,UTR700006,,"4,393.80",12376484.71
07/07/2026,07/07/2026,NEFT-RAZORPAY-UTR700006,UTR700006,,"4,393.80",12380878.51
08/07/2026,08/07/2026,IMPS INWARD NO REFERENCE,,,"1,500.00",12382378.51
09/07/2026,09/07/2026,BANK CHARGES GST,,118.00,,12382260.51
10/07/2026,10/07/2026,NEFT-RAZORPAY-UTR700007,UTR700007,,"14,646.00",12396906.51
13/07/2026,13/07/2026,NEFT-RAZORPAY-UTR700008,UTR700008,,"9,500.00",12406406.51
15/07/2026,15/07/2026,NEFT-RAZORPAY-UTR700010,UTR700010,,"4,178.76",12410585.27
16/07/2026,16/07/2026,NEFT-RAZORPAY-UTR700011,UTR700011,,"21,260.80",12431846.07
02/08/2026,02/08/2026,NEFT-RAZORPAY-UTR700009,UTR700009,,"5,858.40",12437704.47
not-a-date,,TORN ROW FROM A BAD EXPORT,,,ABC,12437704.47
