Sl No,Booking Date,Particulars,Amount INR,Currency,Order Id
L-1,2026-07-01,Sales - online,10000.00,INR,ORD-1001
L-2,2026-07-01,Sales - online,5000.00,INR,ORD-1002
L-3,2026-07-02,Sales - online,2500.50,INR,ORD-1003
L-4,2026-07-03,Sales - online,12500000.00,INR,ORD-1004
L-5,2026-07-03,Sales - online,8000.00,INR,ORD-1005
L-6,2026-07-04,Sales - online,3000.00,INR,ORD-1006
L-7,2026-07-05,Sales - online,4500.00,INR,ORD-1007
L-8,2026-07-28,Sales - online,6000.00,INR,ORD-1009
L-9,2026-07-06,Sales - online,7777.77,INR,ORD-1010
L-10,2026-07-08,Sales - online,15000.00,INR,ORD-1011
L-11,2026-07-09,Sales - online,9500.00,INR,ORD-1012
L-12,2026-07-10,Sales - online,4200.00,INR,ORD-1013
L-13,2026-07-13,Sales - online,22000.00,INR,ORD-1014
