id,UTR,Amount,Fees,Tax,TDS,Settled At
setl_norm,UTR700001,9764.00,200.00,36.00,,2026-07-03
setl_upi,UTR700002,5000.00,0.00,0.00,,2026-07-03
setl_flat,UTR700003,2444.91,47.11,8.48,,2026-07-04
setl_big,UTR700004,12100000.00,250000.00,45000.00,105000.00,2026-07-05
setl_refund,UTR700005,4882.00,100.00,18.00,,2026-07-06
setl_cb,UTR700006,4393.80,90.00,16.20,,2026-07-07
setl_wallet,UTR700007,14646.00,300.00,54.00,,2026-07-10
setl_upi2,UTR700008,9500.00,0.00,0.00,,2026-07-13
setl_nb2,UTR700010,4178.76,18.00,3.24,,2026-07-15
setl_tds,UTR700011,21260.80,440.00,79.20,220.00,2026-07-16
setl_late,UTR700009,5858.40,120.00,21.60,,2026-08-02
