id,amount,value_date,utr,narration,type
bank_0033,3123.95,2026-07-04,UTR3589777049,NEFT RAZORPAY UTR3589777049,credit
bank_0183,3328.10,2026-07-09,UTR5665903274,NEFT RAZORPAY UTR5665903274,credit
bank_0318,448.55,2026-07-14,UTR9730162255,NEFT RAZORPAY UTR9730162255,credit
bank_0003,2806.97,2026-07-03,UTR5632824961,NEFT RAZORPAY UTR5632824961,credit
bank_0554,1358.80,2026-07-10,UTR7838653818,NEFT RAZORPAY UTR7838653818 (LESS CHGS),credit
bank_0048,2967.84,2026-07-04,UTR2102751101,NEFT RAZORPAY UTR2102751101,credit
bank_0143,628.46,2026-07-08,UTR2861375451,NEFT RAZORPAY UTR2861375451,credit
bank_0078,344.10,2026-07-05,UTR3451539149,NEFT RAZORPAY UTR3451539149,credit
bank_0468,3388.94,2026-07-06,,NEFT RAZORPAY CONSOLIDATED PAYOUT,credit
bank_0073,1971.85,2026-07-05,UTR8436625506,NEFT RAZORPAY UTR8436625506,credit
bank_0058,3512.23,2026-07-05,UTR5535789906,NEFT RAZORPAY UTR5535789906,credit
bank_0013,4453.31,2026-07-03,UTR2869752525,NEFT RAZORPAY UTR2869752525,credit
bank_0113,2495.56,2026-07-06,UTR3581138464,NEFT RAZORPAY UTR3581138464,credit
bank_0188,4781.98,2026-07-10,UTR8158542135,NEFT RAZORPAY UTR8158542135,credit
bank_0263,4808.02,2026-07-12,UTR2212047768,NEFT RAZORPAY UTR2212047768,credit
bank_0213,3976.09,2026-07-10,UTR2477019013,NEFT RAZORPAY UTR2477019013,credit
bank_0303,2515.24,2026-07-13,UTR7046709306,NEFT RAZORPAY UTR7046709306,credit
bank_0378,1548.54,2026-07-16,UTR5975731789,NEFT RAZORPAY UTR5975731789,credit
bank_0123,487.08,2026-07-07,UTR1861519447,NEFT RAZORPAY UTR1861519447,credit
bank_0228,3044.55,2026-07-11,UTR9456325659,NEFT RAZORPAY UTR9456325659,credit
bank_0500,691.54,2026-07-05,UTR9471252891,NEFT RAZORPAY UTR9471252891,credit
bank_0452,2681.89,2026-07-03,UTR6503893527,NEFT RAZORPAY UTR6503893527 BATCH,credit
bank_0038,1169.20,2026-07-04,UTR6050426709,NEFT RAZORPAY UTR6050426709,credit
bank_0388,3746.20,2026-07-16,UTR7512172554,NEFT RAZORPAY UTR7512172554,credit
bank_0053,3944.51,2026-07-04,UTR4488553924,NEFT RAZORPAY UTR4488553924,credit
bank_0218,4597.76,2026-07-10,UTR3306596149,NEFT RAZORPAY UTR3306596149,credit
bank_0393,3762.60,2026-07-16,UTR1800633598,NEFT RAZORPAY UTR1800633598,credit
bank_0488,904.47,2026-07-07,UTR6429431811,NEFT RAZORPAY UTR6429431811,credit
bank_0567,2521.28,2026-07-12,,NEFT INWARD CEDAR & CO MUMBAI,credit
