id,amount,date,external_ref,memo
ldgr_0344,4054.64,2026-07-13,ORD3930384,Sale ORD3930384
ldgr_0565,711.05,2026-07-01,ORD2086761,Sale ORD2086761
ldgr_0402,1461.02,2026-07-09,ORD8835256,Sale ORD8835256
ldgr_0269,1214.75,2026-07-10,ORD6429588,Sale ORD6429588
ldgr_0144,643.65,2026-07-06,ORD4521611,Sale ORD4521611
ldgr_0472,2192.77,2026-07-11,ORD6960060,Sale ORD6960060
ldgr_0513,1353.68,2026-07-06,ORD8217909,Sale ORD8217909
ldgr_0299,2689.33,2026-07-11,ORD1477825,Sale ORD1477825
ldgr_0520,1801.82,2026-07-01,ORD4204625,Sale ORD4204625
ldgr_0374,2911.98,2026-07-14,ORD9332845,Sale ORD9332845
ldgr_0433,516.71,2026-07-01,ORD9156384,Sale ORD9156384
ldgr_0495,371.41,2026-07-11,ORD8641877,Sale ORD8641877
ldgr_0074,2019.51,2026-07-03,ORD5859661,Sale ORD5859661
ldgr_0459,675.63,2026-07-10,ORD6296265,Sale ORD6296265
ldgr_0029,2282.32,2026-07-01,ORD1698764,Sale ORD1698764
ldgr_0264,4924.23,2026-07-10,ORD8463669,Sale ORD8463669
ldgr_0284,4574.65,2026-07-11,ORD9838125,Sale ORD9838125
ldgr_0571,591.47,2026-07-06,INV-6627,INV-6627 BLUEWAVE MEDIA direct transfer
ldgr_0435,1723.63,2026-07-01,ORD3473530,Sale ORD3473530
ldgr_0229,3118.13,2026-07-09,ORD2727236,Sale ORD2727236
ldgr_0426,1951.35,2026-07-11,ORD8481328,Sale ORD8481328
ldgr_0406,251.25,2026-07-09,ORD5682748,Sale ORD5682748
ldgr_0179,3449.01,2026-07-07,ORD3054637,Sale ORD3054637
ldgr_0199,4666.66,2026-07-08,ORD1500564,Sale ORD1500564
ldgr_0496,371.41,2026-07-11,ORD8641877,Sale ORD8641877 (re-entry)
ldgr_0475,2404.51,2026-07-11,ORD5613473,Sale ORD5613473
ldgr_0189,4897.56,2026-07-08,ORD1376940,Sale ORD1376940
ldgr_0064,2545.13,2026-07-03,ORD2417135,Sale ORD2417135
ldgr_0324,4236.29,2026-07-12,ORD4195454,Sale ORD4195454
ldgr_0054,4039.85,2026-07-02,ORD7797552,Sale ORD7797552
ldgr_0109,3076.64,2026-07-04,ORD6014727,Sale ORD6014727
ldgr_0502,708.26,2026-07-03,ORD6856463,Sale ORD6856463 (re-entry)
ldgr_0004,2874.82,2026-07-01,ORD4274799,Sale ORD4274799
ldgr_0422,1779.61,2026-07-11,ORD1675905,Sale ORD1675905
ldgr_0467,1055.39,2026-07-04,ORD7826189,Sale ORD7826189
ldgr_0456,2396.75,2026-07-10,ORD3891107,Sale ORD3891107
ldgr_0399,4604.50,2026-07-14,ORD8884654,Sale ORD8884654
ldgr_0568,2521.28,2026-07-12,INV-3777,INV-3777 CEDAR & CO direct transfer
ldgr_0079,352.42,2026-07-03,ORD5669315,Sale ORD5669315
ldgr_0314,4788.91,2026-07-12,ORD7853171,Sale ORD7853171
ldgr_0334,306.64,2026-07-12,ORD2604212,Sale ORD2604212
ldgr_0214,4072.19,2026-07-08,ORD9383489,Sale ORD9383489
ldgr_0114,2555.88,2026-07-04,ORD2831153,Sale ORD2831153
ldgr_0329,4474.37,2026-07-12,ORD1601226,Sale ORD1601226
ldgr_0537,1249.73,2026-07-13,ORD6087266,Sale ORD6087266
ldgr_0574,2003.23,2026-07-11,INV-4968,INV-4968 CEDAR & CO direct transfer
ldgr_0289,447.91,2026-07-11,ORD1395296,Sale ORD1395296
ldgr_0239,515.52,2026-07-09,ORD3394532,Sale ORD3394532
ldgr_0099,223.44,2026-07-04,ORD9785973,Sale ORD9785973
ldgr_0424,310.24,2026-07-11,ORD3129459,Sale ORD3129459
ldgr_0124,498.86,2026-07-05,ORD9589311,Sale ORD9589311
ldgr_0204,1541.33,2026-07-08,ORD4357751,Sale ORD4357751
ldgr_0129,4045.33,2026-07-05,ORD6514108,Sale ORD6514108
ldgr_0404,212.35,2026-07-09,ORD6385103,Sale ORD6385103
ldgr_0354,287.24,2026-07-13,ORD2904457,Sale ORD2904457
ldgr_0446,596.75,2026-07-01,ORD1564870,Sale ORD1564870
ldgr_0084,2271.34,2026-07-03,ORD5803503,Sale ORD5803503
ldgr_0394,3853.54,2026-07-14,ORD5204519,Sale ORD5204519
ldgr_0507,612.98,2026-07-10,ORD3613079,Sale ORD3613079
ldgr_0149,276.37,2026-07-06,ORD9654714,Sale ORD9654714
ldgr_0059,3597.12,2026-07-03,ORD6938047,Sale ORD6938047
ldgr_0069,2285.33,2026-07-03,ORD4743079,Sale ORD4743079
ldgr_0450,1121.46,2026-07-01,ORD4310139,Sale ORD4310139
ldgr_0184,3408.54,2026-07-07,ORD6044347,Sale ORD6044347
ldgr_0369,341.41,2026-07-13,ORD1432128,Sale ORD1432128
ldgr_0164,849.74,2026-07-06,ORD8448843,Sale ORD8448843
ldgr_0219,4708.89,2026-07-08,ORD8538376,Sale ORD8538376
ldgr_0234,4742.01,2026-07-09,ORD5583399,Sale ORD5583399
ldgr_0154,3136.17,2026-07-06,ORD3504034,Sale ORD3504034
ldgr_0044,1824.69,2026-07-02,ORD5727837,Sale ORD5727837
ldgr_0294,2273.04,2026-07-11,ORD7386083,Sale ORD7386083
ldgr_0119,3107.65,2026-07-05,ORD6369759,Sale ORD6369759
ldgr_0019,3088.65,2026-07-01,ORD9795640,Sale ORD9795640
ldgr_0339,1430.86,2026-07-12,ORD9023080,Sale ORD9023080
ldgr_0555,1402.23,2026-07-08,ORD6163676,Sale ORD6163676
ldgr_0448,1028.51,2026-07-01,ORD9909301,Sale ORD9909301
ldgr_0415,1533.58,2026-07-01,ORD6474197,Sale ORD6474197
ldgr_0523,590.71,2026-07-02,ORD2341076,Sale ORD2341076
ldgr_0249,597.76,2026-07-10,ORD5874483,Sale ORD5874483
ldgr_0104,3169.17,2026-07-04,ORD9351255,Sale ORD9351255
ldgr_0508,612.98,2026-07-10,ORD3613079,Sale ORD3613079 (re-entry)
ldgr_0259,1617.23,2026-07-10,ORD5450105,Sale ORD5450105
ldgr_0437,1375.01,2026-07-01,ORD1812450,Sale ORD1812450
ldgr_0389,3836.75,2026-07-14,ORD9887587,Sale ORD9887587
ldgr_0517,1241.74,2026-07-05,ORD7232231,Sale ORD7232231
ldgr_0009,2281.10,2026-07-01,ORD6011121,Sale ORD6011121
ldgr_0049,3039.57,2026-07-02,ORD3431884,Sale ORD3431884
ldgr_0169,2299.22,2026-07-07,ORD4565513,Sale ORD4565513
ldgr_0349,899.14,2026-07-13,ORD3331300,Sale ORD3331300
ldgr_0529,1968.79,2026-07-01,ORD5900094,Sale ORD5900094
ldgr_0274,2172.54,2026-07-10,ORD1565762,Sale ORD1565762
ldgr_0034,3199.46,2026-07-02,ORD7552938,Sale ORD7552938
ldgr_0408,1684.16,2026-07-09,ORD6990826,Sale ORD6990826
ldgr_0309,912.08,2026-07-11,ORD7177529,Sale ORD7177529
ldgr_0014,4560.95,2026-07-01,ORD1020631,Sale ORD1020631
ldgr_0439,1308.49,2026-07-01,ORD7150353,Sale ORD7150353
ldgr_0441,1266.41,2026-07-01,ORD8960270,Sale ORD8960270
ldgr_0464,2415.47,2026-07-04,ORD1406959,Sale ORD1406959
ldgr_0359,472.95,2026-07-13,ORD7429120,Sale ORD7429120
ldgr_0501,708.26,2026-07-03,ORD6856463,Sale ORD6856463
ldgr_0489,926.34,2026-07-05,ORD9863387,Sale ORD9863387
ldgr_0174,2984.49,2026-07-07,ORD2212196,Sale ORD2212196
ldgr_0159,4895.09,2026-07-06,ORD4510315,Sale ORD4510315
ldgr_0094,3824.73,2026-07-04,ORD8222946,Sale ORD8222946
ldgr_0039,1197.46,2026-07-02,ORD9697507,Sale ORD9697507
ldgr_0244,2149.88,2026-07-10,ORD1687984,Sale ORD1687984
ldgr_0545,1427.49,2026-07-13,ORD4513760,Sale ORD4513760
ldgr_0490,926.34,2026-07-05,ORD9863387,Sale ORD9863387 (re-entry)
ldgr_0134,4243.15,2026-07-05,ORD3544608,Sale ORD3544608
ldgr_0480,2417.86,2026-07-13,ORD5305055,Sale ORD5305055
ldgr_0304,2576.03,2026-07-11,ORD4834958,Sale ORD4834958
ldgr_0379,1585.97,2026-07-14,ORD1088303,Sale ORD1088303
ldgr_0194,2631.71,2026-07-08,ORD5649295,Sale ORD5649295
ldgr_0364,3197.13,2026-07-13,ORD3418310,Sale ORD3418310
ldgr_0384,1251.90,2026-07-14,ORD1715170,Sale ORD1715170
ldgr_0541,509.44,2026-07-13,ORD8359718,Sale ORD8359718
ldgr_0209,4706.64,2026-07-08,ORD6778154,Sale ORD6778154
ldgr_0560,383.31,2026-07-06,ORD9904355,Sale ORD9904355
ldgr_0224,3589.83,2026-07-09,ORD2642372,Sale ORD2642372
ldgr_0514,1353.68,2026-07-06,ORD8217909,Sale ORD8217909 (re-entry)
ldgr_0279,3672.85,2026-07-11,ORD7216691,Sale ORD7216691
ldgr_0483,2561.06,2026-07-13,ORD9625533,Sale ORD9625533
ldgr_0550,2362.72,2026-07-06,ORD8932892,Sale ORD8932892
ldgr_0319,459.39,2026-07-12,ORD2353077,Sale ORD2353077
ldgr_0139,2609.92,2026-07-06,ORD3668174,Sale ORD3668174
ldgr_0413,231.74,2026-07-01,ORD6459041,Sale ORD6459041
ldgr_0417,1184.27,2026-07-01,ORD2459646,Sale ORD2459646
ldgr_0428,1440.95,2026-07-11,ORD2815196,Sale ORD2815196
ldgr_0024,2964.67,2026-07-01,ORD8378036,Sale ORD8378036
ldgr_0526,476.55,2026-07-07,ORD2484400,Sale ORD2484400
ldgr_0089,4213.94,2026-07-03,ORD6596549,Sale ORD6596549
ldgr_0254,4406.43,2026-07-10,ORD9531407,Sale ORD9531407
