id,amount,created_at,order_id,method,status
pay_0006,2281.10,2026-07-01,ORD6011121,card,captured
pay_0026,2282.32,2026-07-01,ORD1698764,card,captured
pay_0151,3136.17,2026-07-06,ORD3504034,netbanking,captured
pay_0101,3169.17,2026-07-04,ORD9351255,card,captured
pay_0386,3836.75,2026-07-14,ORD9887587,upi,captured
pay_0447,1028.51,2026-07-01,ORD9909301,upi,captured
pay_0186,4897.56,2026-07-08,ORD1376940,netbanking,captured
pay_0346,899.14,2026-07-13,ORD3331300,netbanking,captured
pay_0066,2285.33,2026-07-03,ORD4743079,upi,captured
pay_0371,2911.98,2026-07-14,ORD9332845,upi,captured
pay_0473,2404.51,2026-07-11,ORD5613473,card,captured
pay_0061,2545.13,2026-07-03,ORD2417135,card,captured
pay_0301,2576.03,2026-07-11,ORD4834958,netbanking,captured
pay_0457,675.63,2026-07-10,ORD6296265,card,captured
pay_0171,2984.49,2026-07-07,ORD2212196,card,captured
pay_0161,849.74,2026-07-06,ORD8448843,upi,captured
pay_0241,2149.88,2026-07-10,ORD1687984,upi,captured
pay_0423,310.24,2026-07-11,ORD3129459,upi,captured
pay_0286,447.91,2026-07-11,ORD1395296,upi,captured
pay_0436,1375.01,2026-07-01,ORD1812450,upi,captured
pay_0191,2631.71,2026-07-08,ORD5649295,netbanking,captured
pay_0403,212.35,2026-07-09,ORD6385103,upi,captured
pay_0539,509.44,2026-07-13,ORD8359718,upi,captured
pay_0011,4560.95,2026-07-01,ORD1020631,netbanking,captured
pay_0396,4604.50,2026-07-14,ORD8884654,netbanking,captured
pay_0051,4039.85,2026-07-02,ORD7797552,upi,captured
pay_0296,2689.33,2026-07-11,ORD1477825,netbanking,captured
pay_0226,3118.13,2026-07-09,ORD2727236,card,captured
pay_0261,4924.23,2026-07-10,ORD8463669,netbanking,captured
pay_0146,276.37,2026-07-06,ORD9654714,card,captured
pay_0136,2609.92,2026-07-06,ORD3668174,netbanking,captured
pay_0557,383.31,2026-07-06,ORD9904355,netbanking,captured
pay_0031,3199.46,2026-07-02,ORD7552938,netbanking,captured
pay_0211,4072.19,2026-07-08,ORD9383489,upi,captured
pay_0519,1801.82,2026-07-01,ORD4204625,card,captured
pay_0096,223.44,2026-07-04,ORD9785973,netbanking,captured
pay_0126,4045.33,2026-07-05,ORD6514108,netbanking,captured
pay_0366,341.41,2026-07-13,ORD1432128,card,captured
pay_0166,2299.22,2026-07-07,ORD4565513,upi,captured
pay_0401,1461.02,2026-07-09,ORD8835256,upi,captured
pay_0091,3824.73,2026-07-04,ORD8222946,upi,captured
pay_0416,1184.27,2026-07-01,ORD2459646,upi,captured
pay_0116,3107.65,2026-07-05,ORD6369759,upi,captured
pay_0041,1824.69,2026-07-02,ORD5727837,upi,captured
pay_0176,3449.01,2026-07-07,ORD3054637,netbanking,captured
pay_0311,4788.91,2026-07-12,ORD7853171,upi,captured
pay_0111,2555.88,2026-07-04,ORD2831153,upi,captured
pay_0381,1251.90,2026-07-14,ORD1715170,upi,captured
pay_0341,4054.64,2026-07-13,ORD3930384,netbanking,captured
pay_0071,2019.51,2026-07-03,ORD5859661,upi,captured
pay_0121,498.86,2026-07-05,ORD9589311,netbanking,captured
pay_0271,2172.54,2026-07-10,ORD1565762,upi,captured
pay_0221,3589.83,2026-07-09,ORD2642372,netbanking,captured
pay_0336,1430.86,2026-07-12,ORD9023080,netbanking,captured
pay_0356,472.95,2026-07-13,ORD7429120,upi,captured
pay_0407,1684.16,2026-07-09,ORD6990826,upi,captured
pay_0562,711.05,2026-07-01,ORD2086761,netbanking,captured
pay_0481,2561.06,2026-07-13,ORD9625533,card,captured
pay_0510,1353.68,2026-07-06,ORD8217909,upi,captured
pay_0547,2362.72,2026-07-06,ORD8932892,netbanking,captured
pay_0462,2415.47,2026-07-04,ORD1406959,card,captured
pay_0522,590.71,2026-07-02,ORD2341076,card,captured
pay_0266,1214.75,2026-07-10,ORD6429588,card,captured
pay_0131,4243.15,2026-07-05,ORD3544608,upi,captured
pay_0486,926.34,2026-07-05,ORD9863387,upi,captured
pay_0181,3408.54,2026-07-07,ORD6044347,card,captured
pay_0251,4406.43,2026-07-10,ORD9531407,card,captured
pay_0391,3853.54,2026-07-14,ORD5204519,netbanking,captured
pay_0361,3197.13,2026-07-13,ORD3418310,netbanking,captured
pay_0535,1249.73,2026-07-13,ORD6087266,upi,captured
pay_0543,1427.49,2026-07-13,ORD4513760,upi,captured
pay_0454,2396.75,2026-07-10,ORD3891107,card,captured
pay_0525,476.55,2026-07-07,ORD2484400,card,captured
pay_0201,1541.33,2026-07-08,ORD4357751,upi,captured
pay_0046,3039.57,2026-07-02,ORD3431884,netbanking,captured
pay_0465,1055.39,2026-07-04,ORD7826189,card,captured
pay_0231,4742.01,2026-07-09,ORD5583399,upi,captured
pay_0445,596.75,2026-07-01,ORD1564870,upi,captured
pay_0321,4236.29,2026-07-12,ORD4195454,card,captured
pay_0498,708.26,2026-07-03,ORD6856463,upi,captured
pay_0291,2273.04,2026-07-11,ORD7386083,upi,captured
pay_0086,4213.94,2026-07-03,ORD6596549,upi,captured
pay_0438,1308.49,2026-07-01,ORD7150353,upi,captured
pay_0141,643.65,2026-07-06,ORD4521611,card,captured
pay_0316,459.39,2026-07-12,ORD2353077,upi,captured
pay_0001,2874.82,2026-07-01,ORD4274799,card,captured
