id,amount,fees,tax,settled_at,utr
setl_0307,890.56,18.24,3.28,2026-07-13,UTR7125608583
setl_0007,2227.27,45.62,8.21,2026-07-03,UTR2297183755
setl_0317,448.55,9.19,1.65,2026-07-14,UTR9730162255
setl_0277,3586.17,73.46,13.22,2026-07-13,UTR3642834645
setl_0409,3523.63,72.17,12.98,2026-07-11,UTR8420971335
setl_0392,3762.60,77.07,13.87,2026-07-16,UTR1800633598
setl_0192,2569.61,52.63,9.47,2026-07-10,UTR1829535582
setl_0107,3004.03,61.53,11.08,2026-07-06,UTR4700771102
setl_0047,2967.84,60.79,10.94,2026-07-04,UTR2102751101
setl_0471,2141.02,43.86,7.89,2026-07-13,UTR3934322002
setl_0337,1397.09,28.62,5.15,2026-07-14,UTR3486002681
setl_0142,628.46,12.87,2.32,2026-07-08,UTR2861375451
setl_0377,1548.54,31.72,5.71,2026-07-16,UTR5975731789
setl_0282,4466.69,91.49,16.47,2026-07-13,UTR7471137618
setl_0387,3746.20,76.74,13.81,2026-07-16,UTR7512172554
setl_0558,374.26,7.67,1.38,2026-07-08,UTR3249622024
setl_0102,3094.38,63.38,11.41,2026-07-06,UTR3004771056
setl_0077,344.10,7.05,1.27,2026-07-05,UTR3451539149
setl_0367,333.35,6.83,1.23,2026-07-15,UTR9681725109
setl_0332,299.41,6.13,1.10,2026-07-14,UTR4946215499
setl_0479,2360.80,48.36,8.70,2026-07-15,UTR9750322945
setl_0112,2495.56,51.12,9.20,2026-07-06,UTR3581138464
setl_0162,829.69,16.99,3.06,2026-07-08,UTR5141472136
setl_0187,4781.98,97.95,17.63,2026-07-10,UTR8158542135
setl_0372,2843.26,58.24,10.48,2026-07-16,UTR2985360394
setl_0237,503.35,10.31,1.86,2026-07-11,UTR8341223004
setl_0057,3512.23,71.94,12.95,2026-07-05,UTR5535789906
setl_0212,3976.09,81.44,14.66,2026-07-10,UTR2477019013
setl_0463,2358.46,48.31,8.70,2026-07-06,UTR1374691880
setl_0222,3505.11,71.80,12.92,2026-07-11,UTR8327692874
setl_0067,2231.39,45.71,8.23,2026-07-05,UTR9421932637
setl_0287,437.34,8.96,1.61,2026-07-13,UTR8784117648
setl_0292,2219.40,45.46,8.18,2026-07-13,UTR5902033996
setl_0487,904.47,18.53,3.34,2026-07-07,UTR6429431811
setl_0327,4368.77,89.49,16.11,2026-07-14,UTR5569901093
setl_0352,280.47,5.74,1.03,2026-07-15,UTR1562627140
setl_0017,3015.76,61.77,11.12,2026-07-03,UTR4858980689
setl_0042,1781.63,36.49,6.57,2026-07-04,UTR2550296064
setl_0147,269.84,5.53,1.00,2026-07-08,UTR8545117050
setl_0197,4556.53,93.33,16.80,2026-07-10,UTR1106993663
setl_0548,2306.97,47.25,8.50,2026-07-08,UTR9603593542
setl_0418,2879.99,58.99,10.61,2026-07-03,UTR3156314008
setl_0127,3949.86,80.91,14.56,2026-07-07,UTR3676574419
setl_0499,691.54,14.17,2.55,2026-07-05,UTR9471252891
setl_0087,4114.49,84.28,15.17,2026-07-05,UTR6054299049
setl_0267,1186.08,24.30,4.37,2026-07-12,UTR3586711729
setl_0052,3944.51,80.80,14.54,2026-07-04,UTR4488553924
setl_0202,1504.95,30.83,5.55,2026-07-10,UTR8451374282
setl_0342,3958.95,81.09,14.60,2026-07-15,UTR4841957256
setl_0357,461.79,9.46,1.70,2026-07-15,UTR3720230872
setl_0182,3328.10,68.17,12.27,2026-07-09,UTR5665903274
setl_0382,1222.35,25.04,4.51,2026-07-16,UTR9450881028
setl_0157,4779.57,97.90,17.62,2026-07-08,UTR1325762027
setl_0455,2340.18,47.94,8.63,2026-07-12,UTR7090706559
setl_0474,2347.76,48.09,8.66,2026-07-13,UTR7794680614
setl_0505,598.51,12.26,2.21,2026-07-12,UTR6536577636
setl_0252,4302.44,88.13,15.86,2026-07-12,UTR8041334608
setl_0482,2500.62,51.22,9.22,2026-07-15,UTR6872007568
setl_0207,4595.57,94.13,16.94,2026-07-10,UTR9279439081
setl_0322,4136.31,84.73,15.25,2026-07-14,UTR6081969908
setl_0247,583.65,11.96,2.15,2026-07-12,UTR3178039151
setl_0466,1030.48,21.11,3.80,2026-07-06,UTR5370627824
setl_0242,2099.14,43.00,7.74,2026-07-12,UTR2795797434
setl_0122,487.08,9.98,1.80,2026-07-07,UTR1861519447
setl_0072,1971.85,40.39,7.27,2026-07-05,UTR8436625506
setl_0397,4495.83,92.09,16.58,2026-07-16,UTR1759835266
setl_0347,877.92,17.98,3.24,2026-07-15,UTR7289326078
setl_0511,1321.74,27.07,4.87,2026-07-08,UTR1314674303
setl_0257,1579.07,32.34,5.82,2026-07-12,UTR2279523876
setl_0117,3034.31,62.15,11.19,2026-07-07,UTR1740355530
setl_0002,2806.97,57.50,10.35,2026-07-03,UTR5632824961
setl_0544,1393.80,28.55,5.14,2026-07-14,UTR3612782021
setl_0167,2244.96,45.98,8.28,2026-07-09,UTR3546488323
setl_0362,3121.68,63.94,11.51,2026-07-15,UTR3834952713
setl_0312,4675.89,95.78,17.24,2026-07-14,UTR6804805359
setl_0232,4630.10,94.84,17.07,2026-07-11,UTR8656751229
setl_0037,1169.20,23.95,4.31,2026-07-04,UTR6050426709
setl_0302,2515.24,51.52,9.27,2026-07-13,UTR7046709306
setl_0540,497.42,10.19,1.83,2026-07-14,UTR2503213925
setl_0132,4143.02,84.86,15.27,2026-07-07,UTR9070000609
setl_0227,3044.55,62.36,11.22,2026-07-11,UTR9456325659
setl_0217,4597.76,94.18,16.95,2026-07-10,UTR3306596149
setl_0451,2681.89,54.94,9.89,2026-07-03,UTR6503893527
setl_0563,694.27,14.22,2.56,2026-07-03,UTR2383271596
setl_0458,659.69,13.51,2.43,2026-07-12,UTR3701212876
setl_0429,5352.76,109.64,19.75,2026-07-13,UTR8453076984
setl_0097,218.17,4.47,0.80,2026-07-06,UTR4816600705
setl_0032,3123.95,63.99,11.52,2026-07-04,UTR3589777049
setl_0177,3367.61,68.98,12.42,2026-07-09,UTR4007858949
setl_0152,3062.16,62.72,11.29,2026-07-08,UTR6421557785
setl_0553,1369.14,28.04,5.05,2026-07-10,UTR7838653818
setl_0022,2894.71,59.29,10.67,2026-07-03,UTR6237113339
setl_0062,2485.07,50.90,9.16,2026-07-05,UTR7813259895
setl_0297,2625.86,53.79,9.68,2026-07-13,UTR9846944550
setl_0536,1220.24,24.99,4.50,2026-07-14,UTR2029189745
setl_0493,362.64,7.43,1.34,2026-07-13,UTR9661163218
setl_0012,4453.31,91.22,16.42,2026-07-03,UTR2869752525
setl_0262,4808.02,98.48,17.73,2026-07-12,UTR2212047768
setl_0092,3734.47,76.49,13.77,2026-07-06,UTR9173390386
setl_0082,2217.73,45.43,8.18,2026-07-05,UTR7560983171
setl_0172,2914.06,59.69,10.74,2026-07-09,UTR2064008776
