id,amount,value_date,utr,narration,type
bank_0108,964.61,2026-07-06,UTR9693045182,NEFT RAZORPAY UTR9693045182,credit
bank_0263,3558.23,2026-07-11,UTR5859241161,NEFT RAZORPAY UTR5859241161,credit
bank_0409,909.49,2026-07-02,UTR4901629841,IMPS INWARD CUSTOMER TRANSFER,credit
bank_0360,6216.60,2026-07-06,UTR9367173813,NEFT RAZORPAY UTR9367173813 BATCH,credit
bank_0153,2039.52,2026-07-07,UTR6896760599,NEFT RAZORPAY UTR6896760599,credit
bank_0208,3688.76,2026-07-09,UTR4956764318,NEFT RAZORPAY UTR4956764318,credit
bank_0063,1261.30,2026-07-05,UTR2426034104,NEFT RAZORPAY UTR2426034104,credit
bank_0058,2269.30,2026-07-05,UTR2043350968,NEFT RAZORPAY UTR2043350968,credit
bank_0168,3941.51,2026-07-08,UTR6836182910,NEFT RAZORPAY UTR6836182910,credit
bank_0243,945.92,2026-07-10,UTR7083467193,NEFT RAZORPAY UTR7083467193,credit
bank_0048,3624.10,2026-07-04,UTR7060842811,NEFT RAZORPAY UTR7060842811,credit
bank_0028,4610.27,2026-07-04,UTR5721551575,NEFT RAZORPAY UTR5721551575,credit
bank_0426,2333.59,2026-07-05,UTR1328518486,NEFT RAZORPAY UTR1328518486 (LESS CHGS),credit
bank_0278,3847.04,2026-07-11,UTR7756842614,NEFT RAZORPAY UTR7756842614,credit
bank_0253,4845.84,2026-07-10,UTR7795507415,NEFT RAZORPAY UTR7795507415,credit
bank_0228,2177.44,2026-07-09,UTR1732835793,NEFT RAZORPAY UTR1732835793,credit
bank_0023,3165.89,2026-07-03,UTR6377978942,NEFT RAZORPAY UTR6377978942,credit
bank_0298,1821.36,2026-07-11,UTR6321224563,NEFT RAZORPAY UTR6321224563,credit
bank_0093,1985.11,2026-07-06,UTR6241545311,NEFT RAZORPAY UTR6241545311,credit
bank_0288,1800.60,2026-07-11,UTR2022523940,NEFT RAZORPAY UTR2022523940,credit
bank_0118,2061.15,2026-07-07,UTR1916501408,NEFT RAZORPAY UTR1916501408,credit
bank_0328,4709.50,2026-07-12,UTR8350333291,NEFT RAZORPAY UTR8350333291,credit
bank_0198,2191.42,2026-07-09,UTR3631245264,NEFT RAZORPAY UTR3631245264,credit
bank_0213,3978.76,2026-07-09,UTR2974084087,NEFT RAZORPAY UTR2974084087,credit
bank_0018,1637.59,2026-07-03,UTR2804247710,NEFT RAZORPAY UTR2804247710,credit
bank_0410,1071.88,2026-07-07,UTR6079259940,IMPS INWARD CUSTOMER TRANSFER,credit
bank_0347,6410.48,2026-07-09,UTR2666905121,NEFT RAZORPAY UTR2666905121 BATCH,credit
bank_0103,1826.98,2026-07-06,UTR9718057849,NEFT RAZORPAY UTR9718057849,credit
bank_0193,1085.35,2026-07-08,UTR5660136799,NEFT RAZORPAY UTR5660136799,credit
bank_0083,4127.07,2026-07-06,UTR4084348826,NEFT RAZORPAY UTR4084348826,credit
bank_0258,3535.52,2026-07-10,UTR8415509435,NEFT RAZORPAY UTR8415509435,credit
bank_0163,581.56,2026-07-08,UTR5350212217,NEFT RAZORPAY UTR5350212217,credit
bank_0183,913.61,2026-07-08,UTR4736148646,NEFT RAZORPAY UTR4736148646,credit
bank_0393,1334.21,2026-07-07,UTR2565109476,NEFT RAZORPAY UTR2565109476,credit
bank_0098,2143.65,2026-07-06,UTR4864199944,NEFT RAZORPAY UTR4864199944,credit
bank_0033,2300.64,2026-07-04,UTR7726594061,NEFT RAZORPAY UTR7726594061,credit
bank_0148,832.00,2026-07-07,UTR2934396189,NEFT RAZORPAY UTR2934396189,credit
bank_0333,296.24,2026-07-12,UTR5467870503,NEFT RAZORPAY UTR5467870503,credit
bank_0318,4683.31,2026-07-12,UTR2335103734,NEFT RAZORPAY UTR2335103734,credit
bank_0038,1102.86,2026-07-04,UTR9030042262,NEFT RAZORPAY UTR9030042262,credit
bank_0218,3359.73,2026-07-09,UTR1221564277,NEFT RAZORPAY UTR1221564277,credit
bank_0113,3892.75,2026-07-06,UTR1428742446,NEFT RAZORPAY UTR1428742446,credit
bank_0068,3923.18,2026-07-05,UTR7286774546,NEFT RAZORPAY UTR7286774546,credit
bank_0373,3929.98,2026-07-05,UTR2001207701,NEFT RAZORPAY UTR2001207701 BATCH,credit
bank_0399,1296.91,2026-07-09,UTR5740201961,NEFT RAZORPAY UTR5740201961,credit
bank_0173,3649.41,2026-07-08,UTR6369179163,NEFT RAZORPAY UTR6369179163,credit
bank_0283,4551.39,2026-07-11,UTR8756474477,NEFT RAZORPAY UTR8756474477,credit
bank_0003,588.10,2026-07-03,UTR1557986280,NEFT RAZORPAY UTR1557986280,credit
bank_0203,4454.58,2026-07-09,UTR3243145409,NEFT RAZORPAY UTR3243145409,credit
bank_0223,2574.81,2026-07-09,UTR2552643252,NEFT RAZORPAY UTR2552643252,credit
bank_0043,3623.00,2026-07-04,UTR3592634839,NEFT RAZORPAY UTR3592634839,credit
bank_0013,691.81,2026-07-03,UTR7119258367,NEFT RAZORPAY UTR7119258367,credit
bank_0268,4289.57,2026-07-11,UTR5703779931,NEFT RAZORPAY UTR5703779931,credit
bank_0313,2703.85,2026-07-12,UTR9091071152,NEFT RAZORPAY UTR9091071152,credit
bank_0088,3484.11,2026-07-06,UTR9325333663,NEFT RAZORPAY UTR9325333663,credit
bank_0133,257.41,2026-07-07,UTR3181042933,NEFT RAZORPAY UTR3181042933,credit
bank_0073,833.63,2026-07-05,UTR7424624019,NEFT RAZORPAY UTR7424624019,credit
bank_0078,4005.09,2026-07-05,UTR6316606462,NEFT RAZORPAY UTR6316606462,credit
bank_0143,3476.96,2026-07-07,UTR4190438776,NEFT RAZORPAY UTR4190438776,credit
bank_0158,1029.04,2026-07-08,UTR3174635001,NEFT RAZORPAY UTR3174635001,credit
bank_0138,833.06,2026-07-07,UTR3924191710,NEFT RAZORPAY UTR3924191710,credit
bank_0008,479.27,2026-07-03,UTR5287485564,NEFT RAZORPAY UTR5287485564,credit
bank_0389,4335.10,2026-07-11,,NEFT RAZORPAY CONSOLIDATED PAYOUT,credit
bank_0308,4505.32,2026-07-12,UTR4377241366,NEFT RAZORPAY UTR4377241366,credit
bank_0188,2869.52,2026-07-08,UTR1890550161,NEFT RAZORPAY UTR1890550161,credit
bank_0178,3578.85,2026-07-08,UTR6183385004,NEFT RAZORPAY UTR6183385004,credit
bank_0421,1816.85,2026-07-10,UTR6909038890,NEFT RAZORPAY UTR6909038890 (LESS CHGS),credit
bank_0053,2004.52,2026-07-05,UTR3207246117,NEFT RAZORPAY UTR3207246117,credit
bank_0248,3484.97,2026-07-10,UTR4416706905,NEFT RAZORPAY UTR4416706905,credit
bank_0293,2286.67,2026-07-11,UTR6131035616,NEFT RAZORPAY UTR6131035616,credit
bank_0323,4119.35,2026-07-12,UTR7505780575,NEFT RAZORPAY UTR7505780575,credit
bank_0381,1185.87,2026-07-11,,NEFT RAZORPAY CONSOLIDATED PAYOUT,credit
bank_0238,431.74,2026-07-10,UTR7802316838,NEFT RAZORPAY UTR7802316838,credit
bank_0123,509.43,2026-07-07,UTR3674359762,NEFT RAZORPAY UTR3674359762,credit
bank_0233,4435.56,2026-07-10,UTR9561671592,NEFT RAZORPAY UTR9561671592,credit
bank_0128,1529.08,2026-07-07,UTR5166301905,NEFT RAZORPAY UTR5166301905,credit
bank_0303,2423.31,2026-07-12,UTR7568638733,NEFT RAZORPAY UTR7568638733,credit
bank_0273,2498.51,2026-07-11,UTR5178073265,NEFT RAZORPAY UTR5178073265,credit
