id,amount,date,external_ref,memo
ldgr_0189,2938.88,2026-07-06,ORD2918788,Sale ORD2918788
ldgr_0214,4074.93,2026-07-07,ORD9796764,Sale ORD9796764
ldgr_0174,3737.62,2026-07-06,ORD2177104,Sale ORD2177104
ldgr_0019,1677.17,2026-07-01,ORD2740290,Sale ORD2740290
ldgr_0209,3777.92,2026-07-07,ORD7188527,Sale ORD7188527
ldgr_0356,1999.97,2026-07-04,ORD3187390,Sale ORD3187390
ldgr_0129,1566.04,2026-07-05,ORD2688910,Sale ORD2688910
ldgr_0352,1605.29,2026-07-04,ORD2570679,Sale ORD2570679
ldgr_0099,2195.46,2026-07-04,ORD5134548,Sale ORD5134548
ldgr_0164,595.61,2026-07-06,ORD2065923,Sale ORD2065923
ldgr_0004,602.32,2026-07-01,ORD8071546,Sale ORD8071546
ldgr_0049,3711.69,2026-07-02,ORD6902885,Sale ORD6902885
ldgr_0239,442.17,2026-07-08,ORD9474802,Sale ORD9474802
ldgr_0199,2244.39,2026-07-07,ORD6107114,Sale ORD6107114
ldgr_0294,2341.94,2026-07-09,ORD5222366,Sale ORD5222366
ldgr_0184,935.69,2026-07-06,ORD3288693,Sale ORD3288693
ldgr_0324,4218.92,2026-07-10,ORD8000988,Sale ORD8000988
ldgr_0394,1366.46,2026-07-05,ORD2965813,Sale ORD2965813
ldgr_0074,853.78,2026-07-03,ORD8633774,Sale ORD8633774
ldgr_0229,2230.07,2026-07-07,ORD7176843,Sale ORD7176843
ldgr_0104,1871.14,2026-07-04,ORD5149893,Sale ORD5149893
ldgr_0371,384.37,2026-07-03,ORD1740127,Sale ORD1740127
ldgr_0345,1277.89,2026-07-07,ORD7822778,Sale ORD7822778
ldgr_0024,3242.41,2026-07-01,ORD5096154,Sale ORD5096154
ldgr_0400,1328.26,2026-07-07,ORD5410257,Sale ORD5410257
ldgr_0299,1865.39,2026-07-09,ORD1814015,Sale ORD1814015
ldgr_0319,4796.51,2026-07-10,ORD1674984,Sale ORD1674984
ldgr_0039,1129.52,2026-07-02,ORD7961498,Sale ORD7961498
ldgr_0339,785.82,2026-07-07,ORD3151041,Sale ORD3151041
ldgr_0334,303.40,2026-07-10,ORD3716821,Sale ORD3716821
ldgr_0367,1628.56,2026-07-03,ORD3849293,Sale ORD3849293
ldgr_0084,4226.83,2026-07-04,ORD8546945,Sale ORD8546945
ldgr_0269,4393.24,2026-07-09,ORD5385131,Sale ORD5385131
ldgr_0154,2088.82,2026-07-05,ORD6471484,Sale ORD6471484
ldgr_0064,1291.79,2026-07-03,ORD4048009,Sale ORD4048009
ldgr_0139,853.19,2026-07-05,ORD9220117,Sale ORD9220117
ldgr_0249,3569.20,2026-07-08,ORD7680906,Sale ORD7680906
ldgr_0219,3440.94,2026-07-07,ORD4625905,Sale ORD4625905
ldgr_0279,3940.02,2026-07-09,ORD7045385,Sale ORD7045385
ldgr_0169,4036.78,2026-07-06,ORD1406550,Sale ORD1406550
ldgr_0314,2769.20,2026-07-10,ORD9550468,Sale ORD9550468
ldgr_0094,2033.09,2026-07-04,ORD2774140,Sale ORD2774140
ldgr_0341,899.92,2026-07-07,ORD9118667,Sale ORD9118667
ldgr_0254,4962.97,2026-07-08,ORD5671678,Sale ORD5671678
ldgr_0119,2110.97,2026-07-05,ORD7304459,Sale ORD7304459
ldgr_0358,1060.72,2026-07-04,ORD6074507,Sale ORD6074507
ldgr_0395,1366.46,2026-07-05,ORD2965813,Sale ORD2965813 (re-entry)
ldgr_0388,1744.42,2026-07-09,ORD2258819,Sale ORD2258819
ldgr_0054,2052.97,2026-07-03,ORD7572526,Sale ORD7572526
ldgr_0134,263.63,2026-07-05,ORD8466597,Sale ORD8466597
ldgr_0385,2695.46,2026-07-09,ORD7011162,Sale ORD7011162
ldgr_0284,4661.40,2026-07-09,ORD1057872,Sale ORD1057872
ldgr_0244,968.79,2026-07-08,ORD5386010,Sale ORD5386010
ldgr_0149,852.11,2026-07-05,ORD1047547,Sale ORD1047547
ldgr_0069,4018.00,2026-07-03,ORD3651138,Sale ORD3651138
ldgr_0427,2403.18,2026-07-03,ORD7756708,Sale ORD7756708
ldgr_0234,4542.77,2026-07-08,ORD8824808,Sale ORD8824808
ldgr_0224,2637.04,2026-07-07,ORD9399238,Sale ORD9399238
ldgr_0422,1871.11,2026-07-08,ORD9780251,Sale ORD9780251
ldgr_0044,3710.57,2026-07-02,ORD2236994,Sale ORD2236994
ldgr_0059,2324.15,2026-07-03,ORD7721883,Sale ORD7721883
ldgr_0304,2481.89,2026-07-10,ORD4663128,Sale ORD4663128
ldgr_0114,3986.84,2026-07-04,ORD9100999,Sale ORD9100999
ldgr_0204,4562.24,2026-07-07,ORD2914463,Sale ORD2914463
ldgr_0401,1328.26,2026-07-07,ORD5410257,Sale ORD5410257 (re-entry)
ldgr_0124,521.74,2026-07-05,ORD6323780,Sale ORD6323780
ldgr_0350,468.88,2026-07-04,ORD9054338,Sale ORD9054338
ldgr_0337,1849.43,2026-07-07,ORD5805492,Sale ORD5805492
ldgr_0159,1053.91,2026-07-06,ORD2437714,Sale ORD2437714
ldgr_0363,750.13,2026-07-03,ORD7233473,Sale ORD7233473
ldgr_0144,3561.00,2026-07-05,ORD6421198,Sale ORD6421198
ldgr_0109,987.93,2026-07-04,ORD5617476,Sale ORD5617476
ldgr_0029,4721.70,2026-07-02,ORD5419979,Sale ORD5419979
ldgr_0034,2356.24,2026-07-02,ORD6248730,Sale ORD6248730
ldgr_0343,1752.38,2026-07-07,ORD4882596,Sale ORD4882596
