id,amount,created_at,order_id,method,status
pay_0246,3569.20,2026-07-08,ORD7680906,upi,captured
pay_0196,2244.39,2026-07-07,ORD6107114,card,captured
pay_0036,1129.52,2026-07-02,ORD7961498,netbanking,captured
pay_0411,525.84,2026-07-09,ORD6832854,upi,captured
pay_0406,1358.90,2026-07-04,ORD9842119,card,captured
pay_0016,1677.17,2026-07-01,ORD2740290,upi,captured
pay_0216,3440.94,2026-07-07,ORD4625905,netbanking,captured
pay_0321,4218.92,2026-07-10,ORD8000988,netbanking,captured
pay_0226,2230.07,2026-07-07,ORD7176843,card,captured
pay_0357,1060.72,2026-07-04,ORD6074507,upi,captured
pay_0378,389.38,2026-07-09,ORD5336401,card,captured
pay_0021,3242.41,2026-07-01,ORD5096154,upi,captured
pay_0301,2481.89,2026-07-10,ORD4663128,card,captured
pay_0011,708.53,2026-07-01,ORD8248258,card,captured
pay_0091,2033.09,2026-07-04,ORD2774140,netbanking,captured
pay_0171,3737.62,2026-07-06,ORD2177104,upi,captured
pay_0081,4226.83,2026-07-04,ORD8546945,upi,captured
pay_0286,1844.12,2026-07-09,ORD7788990,upi,captured
pay_0355,1999.97,2026-07-04,ORD3187390,upi,captured
pay_0221,2637.04,2026-07-07,ORD9399238,card,captured
pay_0271,2558.90,2026-07-09,ORD6116733,netbanking,captured
pay_0206,3777.92,2026-07-07,ORD7188527,netbanking,captured
pay_0251,4962.97,2026-07-08,ORD5671678,card,captured
pay_0146,852.11,2026-07-05,ORD1047547,netbanking,captured
pay_0076,4101.90,2026-07-03,ORD5129534,netbanking,captured
pay_0340,899.92,2026-07-07,ORD9118667,upi,captured
pay_0386,1744.42,2026-07-09,ORD2258819,card,captured
pay_0366,1628.56,2026-07-03,ORD3849293,upi,captured
pay_0101,1871.14,2026-07-04,ORD5149893,netbanking,captured
pay_0006,490.86,2026-07-01,ORD8982089,card,captured
pay_0066,4018.00,2026-07-03,ORD3651138,netbanking,captured
pay_0161,595.61,2026-07-06,ORD2065923,card,captured
pay_0031,2356.24,2026-07-02,ORD6248730,upi,captured
pay_0026,4721.70,2026-07-02,ORD5419979,netbanking,captured
pay_0061,1291.79,2026-07-03,ORD4048009,card,captured
pay_0056,2324.15,2026-07-03,ORD7721883,card,captured
pay_0166,4036.78,2026-07-06,ORD1406550,upi,captured
pay_0306,4614.21,2026-07-10,ORD8669498,upi,captured
pay_0256,3620.98,2026-07-08,ORD4002882,upi,captured
pay_0231,4542.77,2026-07-08,ORD8824808,upi,captured
pay_0353,1232.01,2026-07-04,ORD3806636,upi,captured
pay_0316,4796.51,2026-07-10,ORD1674984,card,captured
pay_0046,3711.69,2026-07-02,ORD6902885,card,captured
pay_0141,3561.00,2026-07-05,ORD6421198,upi,captured
pay_0281,4661.40,2026-07-09,ORD1057872,netbanking,captured
pay_0424,2403.18,2026-07-03,ORD7756708,netbanking,captured
pay_0403,1140.55,2026-07-02,ORD5059310,card,captured
pay_0201,4562.24,2026-07-07,ORD2914463,netbanking,captured
pay_0181,935.69,2026-07-06,ORD3288693,upi,captured
pay_0126,1566.04,2026-07-05,ORD2688910,netbanking,captured
pay_0001,602.32,2026-07-01,ORD8071546,netbanking,captured
pay_0116,2110.97,2026-07-05,ORD7304459,upi,captured
pay_0071,853.78,2026-07-03,ORD8633774,card,captured
pay_0375,825.15,2026-07-09,ORD9176854,card,captured
pay_0391,1366.46,2026-07-05,ORD2965813,upi,captured
pay_0186,2938.88,2026-07-06,ORD2918788,upi,captured
pay_0211,4074.93,2026-07-07,ORD9796764,netbanking,captured
pay_0331,303.40,2026-07-10,ORD3716821,card,captured
pay_0176,3665.36,2026-07-06,ORD5995766,upi,captured
pay_0191,1111.58,2026-07-06,ORD1566861,netbanking,captured
pay_0370,384.37,2026-07-03,ORD1740127,upi,captured
pay_0136,853.19,2026-07-05,ORD9220117,card,captured
pay_0241,968.79,2026-07-08,ORD5386010,netbanking,captured
pay_0156,1053.91,2026-07-06,ORD2437714,card,captured
pay_0419,1871.11,2026-07-08,ORD9780251,netbanking,captured
pay_0344,1277.89,2026-07-07,ORD7822778,upi,captured
pay_0351,1605.29,2026-07-04,ORD2570679,upi,captured
pay_0086,3568.33,2026-07-04,ORD6554803,netbanking,captured
pay_0296,1865.39,2026-07-09,ORD1814015,card,captured
pay_0342,1752.38,2026-07-07,ORD4882596,upi,captured
pay_0266,4393.24,2026-07-09,ORD5385131,upi,captured
pay_0336,1849.43,2026-07-07,ORD5805492,upi,captured
pay_0041,3710.57,2026-07-02,ORD2236994,upi,captured
pay_0096,2195.46,2026-07-04,ORD5134548,card,captured
pay_0349,468.88,2026-07-04,ORD9054338,upi,captured
pay_0291,2341.94,2026-07-09,ORD5222366,netbanking,captured
pay_0151,2088.82,2026-07-05,ORD6471484,netbanking,captured
pay_0051,2052.97,2026-07-03,ORD7572526,upi,captured
pay_0111,3986.84,2026-07-04,ORD9100999,card,captured
pay_0415,612.41,2026-07-09,ORD4879624,upi,captured
pay_0311,2769.20,2026-07-10,ORD9550468,upi,captured
pay_0362,750.13,2026-07-03,ORD7233473,upi,captured
pay_0276,3940.02,2026-07-09,ORD7045385,netbanking,captured
pay_0397,1328.26,2026-07-07,ORD5410257,upi,captured
pay_0121,521.74,2026-07-05,ORD6323780,netbanking,captured
pay_0106,987.93,2026-07-04,ORD5617476,card,captured
pay_0261,3644.23,2026-07-09,ORD1711974,upi,captured
pay_0383,2695.46,2026-07-09,ORD7011162,card,captured
pay_0326,4823.33,2026-07-10,ORD4231968,card,captured
pay_0364,596.87,2026-07-03,ORD5817031,upi,captured
pay_0131,263.63,2026-07-05,ORD8466597,card,captured
pay_0236,442.17,2026-07-08,ORD9474802,upi,captured
pay_0338,785.82,2026-07-07,ORD3151041,upi,captured
pay_0368,665.03,2026-07-03,ORD8457433,upi,captured
