id,amount,fees,tax,settled_at,utr
setl_0167,3941.51,80.74,14.53,2026-07-08,UTR6836182910
setl_0217,3359.73,68.82,12.39,2026-07-09,UTR1221564277
setl_0242,945.92,19.38,3.49,2026-07-10,UTR7083467193
setl_0232,4435.56,90.86,16.35,2026-07-10,UTR9561671592
setl_0227,2177.44,44.60,8.03,2026-07-09,UTR1732835793
setl_0277,3847.04,78.80,14.18,2026-07-11,UTR7756842614
setl_0142,3476.96,71.22,12.82,2026-07-07,UTR4190438776
setl_0192,1085.35,22.23,4.00,2026-07-08,UTR5660136799
setl_0247,3484.97,71.38,12.85,2026-07-10,UTR4416706905
setl_0002,588.10,12.05,2.17,2026-07-03,UTR1557986280
setl_0272,2498.51,51.18,9.21,2026-07-11,UTR5178073265
setl_0087,3484.11,71.37,12.85,2026-07-06,UTR9325333663
setl_0022,3165.89,64.85,11.67,2026-07-03,UTR6377978942
setl_0147,832.00,17.04,3.07,2026-07-07,UTR2934396189
setl_0112,3892.75,79.74,14.35,2026-07-06,UTR1428742446
setl_0332,296.24,6.07,1.09,2026-07-12,UTR5467870503
setl_0425,2346.47,48.06,8.65,2026-07-05,UTR1328518486
setl_0327,4709.50,96.47,17.36,2026-07-12,UTR8350333291
setl_0107,964.61,19.76,3.56,2026-07-06,UTR9693045182
setl_0317,4683.31,95.93,17.27,2026-07-12,UTR2335103734
setl_0420,1826.95,37.42,6.74,2026-07-10,UTR6909038890
setl_0187,2869.52,58.78,10.58,2026-07-08,UTR1890550161
setl_0207,3688.76,75.56,13.60,2026-07-09,UTR4956764318
setl_0127,1529.08,31.32,5.64,2026-07-07,UTR5166301905
setl_0057,2269.30,46.48,8.37,2026-07-05,UTR2043350968
setl_0062,1261.30,25.84,4.65,2026-07-05,UTR2426034104
setl_0177,3578.85,73.31,13.20,2026-07-08,UTR6183385004
setl_0027,4610.27,94.43,17.00,2026-07-04,UTR5721551575
setl_0077,4005.09,82.04,14.77,2026-07-05,UTR6316606462
setl_0157,1029.04,21.08,3.79,2026-07-08,UTR3174635001
setl_0392,1334.21,27.33,4.92,2026-07-07,UTR2565109476
setl_0007,479.27,9.82,1.77,2026-07-03,UTR5287485564
setl_0117,2061.15,42.22,7.60,2026-07-07,UTR1916501408
setl_0172,3649.41,74.75,13.46,2026-07-08,UTR6369179163
setl_0412,513.43,10.52,1.89,2026-07-10,UTR3045761942
setl_0379,380.19,7.79,1.40,2026-07-11,UTR1338655897
setl_0346,6410.48,131.32,23.64,2026-07-09,UTR2666905121
setl_0372,3929.98,80.50,14.48,2026-07-05,UTR2001207701
setl_0237,431.74,8.84,1.59,2026-07-10,UTR7802316838
setl_0132,257.41,5.27,0.95,2026-07-07,UTR3181042933
setl_0222,2574.81,52.74,9.49,2026-07-09,UTR2552643252
setl_0287,1800.60,36.88,6.64,2026-07-11,UTR2022523940
setl_0307,4505.32,92.28,16.61,2026-07-12,UTR4377241366
setl_0017,1637.59,33.54,6.04,2026-07-03,UTR2804247710
setl_0302,2423.31,49.64,8.94,2026-07-12,UTR7568638733
setl_0162,581.56,11.91,2.14,2026-07-08,UTR5350212217
setl_0197,2191.42,44.89,8.08,2026-07-09,UTR3631245264
setl_0282,4551.39,93.23,16.78,2026-07-11,UTR8756474477
setl_0092,1985.11,40.66,7.32,2026-07-06,UTR6241545311
setl_0257,3535.52,72.42,13.04,2026-07-10,UTR8415509435
setl_0042,3623.00,74.21,13.36,2026-07-04,UTR3592634839
setl_0384,2631.85,53.91,9.70,2026-07-11,UTR5235686941
setl_0182,913.61,18.71,3.37,2026-07-08,UTR4736148646
setl_0322,4119.35,84.38,15.19,2026-07-12,UTR7505780575
setl_0416,597.96,12.25,2.20,2026-07-10,UTR9616826806
setl_0359,6216.60,127.34,22.93,2026-07-06,UTR9367173813
setl_0297,1821.36,37.31,6.72,2026-07-11,UTR6321224563
setl_0387,1703.25,34.89,6.28,2026-07-11,UTR4422424979
setl_0032,2300.64,47.12,8.48,2026-07-04,UTR7726594061
setl_0312,2703.85,55.38,9.97,2026-07-12,UTR9091071152
setl_0097,2143.65,43.91,7.90,2026-07-06,UTR4864199944
setl_0376,805.68,16.50,2.97,2026-07-11,UTR6956453567
setl_0102,1826.98,37.42,6.74,2026-07-06,UTR9718057849
setl_0152,2039.52,41.78,7.52,2026-07-07,UTR6896760599
setl_0267,4289.57,87.86,15.81,2026-07-11,UTR5703779931
setl_0122,509.43,10.43,1.88,2026-07-07,UTR3674359762
setl_0067,3923.18,80.36,14.46,2026-07-05,UTR7286774546
setl_0292,2286.67,46.84,8.43,2026-07-11,UTR6131035616
setl_0072,833.63,17.08,3.07,2026-07-05,UTR7424624019
setl_0262,3558.23,72.88,13.12,2026-07-11,UTR5859241161
setl_0082,4127.07,84.54,15.22,2026-07-06,UTR4084348826
setl_0137,833.06,17.06,3.07,2026-07-07,UTR3924191710
setl_0052,2004.52,41.06,7.39,2026-07-05,UTR3207246117
setl_0047,3624.10,74.23,13.36,2026-07-04,UTR7060842811
setl_0202,4454.58,91.24,16.42,2026-07-09,UTR3243145409
setl_0212,3978.76,81.50,14.67,2026-07-09,UTR2974084087
setl_0012,691.81,14.17,2.55,2026-07-03,UTR7119258367
setl_0037,1102.86,22.59,4.07,2026-07-04,UTR9030042262
setl_0252,4845.84,99.26,17.87,2026-07-10,UTR7795507415
setl_0398,1296.91,26.57,4.78,2026-07-09,UTR5740201961
